ORD200000,2023-01-04 00:00:00.000,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,2853.1,Mean Quantity,2.855
ORD200001,2024-08-23 00:00:00.000,C75739,Phone,2,151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,302.7,Median Quantity,3
ORD200002,2024-02-27 00:00:00.000,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,2753.4,Count of Quantity,200
ORD200003,2023-10-15 00:00:00.000,C33540,Chair,1,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,273.19,Quartile1,2
ORD200004,2025-05-08 00:00:00.000,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,2504.04,Quartile3,4
ORD200005,2023-10-23 00:00:00.000,C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,491.72,INTERQUARTILE RANGE,2
ORD200006,2025-06-17 00:00:00.000,C83492,Laptop,1,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,664.42,Lower Bound,-1
ORD200007,2023-05-12 00:00:00.000,C41460,Monitor,5,149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,747.75,Upper Bound,7
ORD200008,2025-04-02 00:00:00.000,C26817,Phone,2,134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,No Coupon,Email,268.56,268.56,NULL,NULL
ORD200009,2023-11-21 00:00:00.000,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,2037.52,NULL,NULL
